file,window_index,fs,ecg_mean,ecg_std,ecg_min,ecg_max,ecg_median,ecg_rms,ecg_hr_bpm,ecg_hrv_sdnn,ecg_hrv_rmssd,emg_mean,emg_std,emg_min,emg_max,emg_median,emg_rms,emg_median_freq,resp_mean,resp_std,resp_min,resp_max,resp_median,resp_rms,resp_rate_bpm,workout_id,activity,user,label
recovery_user0_workout0.txt,          0.0, 1000.0, 0.8127187108667117 , 302.41342607271866 , -572.4346567869306 , 578.7740989793681 , -10.930945372204055, 302.41451813817184 ,  68.1354190300243  ,  410.2385271068613  ,  510.4719493871442  , 508.6884            , 53.85033523981072  ,     0.0, 1023.0              , 508.0               , 17.71912148487847  ,                    , 2.3788817175813683 , 0.5099689871565537, 0.6590892931297607 ,  3.6662020244496167, 2.317669172077074  , 2.432929631967263 , 44.03725158792931 , 0         , recovery,    0,   1.0
recovery_user0_workout0.txt,          1.0, 1000.0, 0.8518077223117114 , 255.99832941937123 , -546.1948493855065 , 586.6859769986306 , -7.273313377007598 , 255.99974656609467 ,  64.11813111945307 ,  588.8041453976244  ,  905.2414349528834  , 508.7785            , 66.84631581284043  ,     0.0, 1023.0              , 508.0               , 18.411806514245807 ,                    , 2.258523144194806  , 0.4591137256019064, 1.4258873050836094 ,  3.516911759788364 , 2.176483589677772  , 2.3047152114523075, 37.0094438892197  , 0         , recovery,    0,   1.0
recovery_user0_workout0.txt,          2.0, 1000.0, 1.381770848382281  , 243.2889001294648  , -546.1948493855065 , 586.6859769986306 , 0.4951250232625507 , 243.29282401435952 ,  70.04755855183689 ,  548.5192240763186  ,  820.2692647336402  , 508.24635           , 63.100410946978    ,     0.0, 1023.0              , 508.0               , 14.503521482340298 ,                    , 2.0478503135280466 , 0.4747018857922619, 1.154678905111869  ,  3.138770236018609 , 1.9989950706386408 , 2.10214956342113  , 38.20679661341024 , 0         , recovery,    0,   1.0
recovery_user0_workout0.txt,          3.0, 1000.0, -0.9765824822245608, 231.9600136540198  , -522.6275140719017 , 537.8547871458935 , -2.282015685521758 , 231.9620694159233  ,  65.07248472393519 ,  768.8839547992352  , 1242.83104241888    , 508.5452            , 51.377427504303874 ,     0.0, 1023.0              , 508.0               , 13.21758424527954  ,                    , 2.0878865189461067 , 0.5361831661045737, 1.154678905111869  ,  3.6270162094974814, 2.0067472320972914 , 2.1556350580770425, 36.13216133333929 , 0         , recovery,    0,   1.0
recovery_user0_workout0.txt,          4.0, 1000.0, 0.1174913842979165 , 271.3362039260938  , -573.4539129628589 , 558.8025346255749 , -1.352868616882152 , 271.33622936358523 ,  53.80790359681854 , 1192.1862190750155  , 1400.0662994505449  , 508.70275           , 43.47437742438068  ,     0.0, 1023.0              , 508.0               , 11.135175223221015 ,                    , 2.6599973919070425 , 0.6472720022764199, 1.306931877392376  ,  3.9436386713310014, 2.762686130598844  , 2.7376170604895043, 28.3322305233055  , 0         , recovery,    0,   1.0
recovery_user0_workout0.txt,          5.0, 1000.0, 1.382628825510732  , 239.5678859559248  , -596.6302035560379 , 558.8025346255749 , 0.8808524672289116 , 239.57187573640635 ,  53.31941647773611 ,  741.4951223598954  ,  832.8786041379435  , 508.29095           , 25.04751880122061  ,     0.0, 1022.0              , 508.0               ,  6.059948995024264 ,                    , 2.720035523766639  , 0.7123443398002725, 1.2690540897295717 ,  4.418032260515679 , 2.8400402096485573 , 2.8117659413610405, 33.2226666801954  , 0         , recovery,    0,   0.0
recovery_user0_workout0.txt,          6.0, 1000.0, -0.2977229774588583, 114.19525748870277 , -596.6302035560379 , 556.4339548368587 , 0.4551380158565984 , 114.19564559072484 ,  50.83649711317215 ,  818.1704809496832  , 1369.3813079879055  , 508.12665           ,  4.094582979681814 ,   457.0,  554.0              , 508.0               ,  2.461817137157188 ,                    , 2.1272340489314536 , 0.7047987173315873, 1.1313154798380614 ,  5.018944397672529 , 2.022774108976079  , 2.240952014409402 , 27.85222958776131 , 0         , recovery,    0,   0.0
recovery_user0_workout0.txt,          7.0, 1000.0, -0.1399582222483593,  69.34759106478428 , -305.7377459116402 , 437.0048473515556 , -1.1773924582489943,  69.34773229740482 ,  38.30690837380142 , 1370.5785109016756  , 2113.800298041421   , 508.1898            ,  3.813800723687592 ,   487.0,  529.0              , 508.0               ,  2.568559034691364 ,                    , 2.286530227486446  , 0.9299304837056448, 0.8690156462685724 ,  5.567309766083434 , 2.1270805595535283 , 2.468398506265597 ,                   , 0         , recovery,    0,   0.0
recovery_user0_workout0.txt,          8.0, 1000.0, -0.4333930951582577,  62.974437122004815, -305.7377459116402 , 437.0048473515556 , -0.2161983179932526,  62.97592842037559 ,  78.30637625018842 ,  648.5861546471679  ,  689.7624591118307  , 508.19515           ,  3.969139261540215 ,   487.0,  530.0              , 508.0               ,  2.728582644954454 ,                    , 2.330795116782875  , 0.9485075950616848, 0.8690156462685724 ,  5.567309766083434 , 2.121838635405304  , 2.516400710202689 , 31.920488444967976, 0         , recovery,    0,   0.0
recovery_user0_workout0.txt,          9.0, 1000.0, 0.112968622398532  ,  17.733818685015017, -62.05049367153399 ,  73.41810961993379, 0.187355474402828  ,  17.734178499796215,  92.40794146694674 ,  253.11366437550555 ,  380.82771695348015 , 508.17085           ,  3.969277047208975 ,   494.0,  532.0              , 508.0               ,  2.7964243929195463,                    , 2.0613126249025693 , 0.7105081581970734, 1.0493827663058308 ,  4.474041737132028 , 1.9004862494911887 , 2.180328319415981 , 27.38856160475748 , 0         , recovery,    0,   0.0
